"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
9.69463673689887e-35,4.2381806785331,0.602,0.068,2.08221407835114e-30,"2","EPCAM"
1.51913487307094e-34,5.97064203427532,0.482,0.026,3.26279788038177e-30,"2","KRT15"
5.48784231946115e-34,4.10890440955517,0.458,0.018,1.17867877337387e-29,"2","EHF"
1.1328541659005e-33,5.11817310115164,0.446,0.018,2.43314417752109e-29,"2","CRNDE"
1.68839671034243e-33,5.43923707499218,0.47,0.026,3.62633845447346e-29,"2","ABCC3"
1.94400342319486e-33,4.8832088874015,0.446,0.018,4.17533055233792e-29,"2","EMP2"
2.82309269748526e-33,3.17283042914204,0.735,0.139,6.06343849565884e-29,"2","PERP"
6.11629099705225e-33,4.84544211873697,0.458,0.024,1.31365698034688e-28,"2","EPHX1"
1.48749301385857e-32,4.61882984922054,0.518,0.045,3.19483749516543e-28,"2","TACSTD2"
2.08578843189281e-32,4.77291262816482,0.578,0.071,4.47985639401938e-28,"2","TCEAL4"
2.48395046311614e-32,5.11865698267108,0.434,0.018,5.33502880468085e-28,"2","TBX3"
5.57575865620332e-32,4.26876936658783,0.554,0.06,1.19756144417935e-27,"2","RND3"
4.6724836521334e-31,6.26545830586923,0.373,0.008,1.00355603880521e-26,"2","KRT16"
5.80247809898319e-31,4.45263254961995,0.59,0.084,1.24625624609961e-26,"2","MGST1"
7.10800870515e-31,5.65976571073085,0.373,0.008,1.52665810969212e-26,"2","GPX2"
1.09282403006324e-30,4.79177458604071,0.398,0.013,2.34716745176984e-26,"2","IRX3"
3.26988529668039e-30,2.54824539877616,0.964,0.85,7.02305964021014e-26,"2","MIF"
7.04797800565954e-30,3.68963503500522,0.627,0.105,1.51376471605556e-25,"2","PPFIA1"
2.3111038581077e-29,2.78454702847471,0.53,0.055,4.96378886644373e-25,"2","CALD1"
3.08008152000115e-29,8.94039753973196,0.313,0,6.61539908865847e-25,"2","LRATD1"
6.16145922763402e-29,7.32460581824266,0.337,0.005,1.32335821291124e-24,"2","SOX2"
7.74468627896679e-29,4.3544865757462,0.518,0.06,1.66340371899649e-24,"2","TM4SF1"
2.0301455671229e-28,4.23170888520365,0.602,0.097,4.36034664906657e-24,"2","MAFB"
4.0513635834404e-28,9.28167417871806,0.301,0,8.70151870451329e-24,"2","COL4A5"
4.15622538969055e-28,4.65356887083773,0.422,0.029,8.92674089197736e-24,"2","ENAH"
1.33094950012038e-27,5.65067012454524,0.349,0.01,2.85861333635855e-23,"2","DUXAP8"
1.82641298888265e-27,4.13035814665912,0.482,0.05,3.92276981752215e-23,"2","PTPRF"
2.96465532796814e-27,3.9208536174335,0.59,0.105,6.36748671340996e-23,"2","TCEAL9"
1.25577879745705e-26,6.5113905698648,0.313,0.005,2.69716170117825e-22,"2","IRX5"
1.60149404141388e-26,5.10278248618829,0.325,0.008,3.43968890214873e-22,"2","SCNN1A"
2.12543459733164e-26,3.90101517982286,0.47,0.05,4.56500842814891e-22,"2","H1F0"
1.01531582626986e-25,4.60223716543888,0.422,0.037,2.1806953316624e-21,"2","PIK3R3"
1.05168392629045e-25,4.12579539348645,0.434,0.039,2.25880673688662e-21,"2","AC023157.3"
1.18450577183489e-25,4.23441486511292,0.59,0.113,2.54408149674698e-21,"2","DST"
1.5273382668832e-25,5.70885969190849,0.325,0.01,3.28041712961174e-21,"2","NOL3"
4.82866105280971e-25,1.99120295362036,1,0.99,1.03709982092247e-20,"2","FTL"
4.94370138337004e-25,2.56868145063116,0.976,0.937,1.06180818312022e-20,"2","RPL36A"
5.46716563357199e-25,4.36967291077504,0.434,0.045,1.17423783477859e-20,"2","DSP"
9.44480150411087e-25,3.9549675390962,0.422,0.039,2.02855446705293e-20,"2","NFIB"
9.96171441613662e-25,4.4169059508304,0.386,0.029,2.13957702229782e-20,"2","LTBR"
1.77719549285162e-24,5.4609982183286,0.325,0.013,3.81706047954672e-20,"2","UCHL1"
4.55951914190555e-24,3.41744010320776,0.518,0.081,9.79293521298474e-20,"2","CLU"
5.5324901330759e-24,4.1869461831603,0.458,0.058,1.18826823078204e-19,"2","NFIA"
6.20451680951796e-24,5.0077704809356,0.386,0.031,1.33260612034827e-19,"2","NDUFA4L2"
8.89773734725347e-24,2.39155641373556,0.904,0.643,1.9110560274431e-19,"2","GSTP1"
1.0961630183731e-23,8.24689164088728,0.253,0,2.35433893086174e-19,"2","LRP1B"
1.20452257371815e-23,4.11896430024575,0.349,0.021,2.58707358383185e-19,"2","PALLD"
4.36257361732232e-23,3.02553503395842,0.53,0.094,9.36993561528488e-19,"2","NRARP"
5.54257445810928e-23,2.67320201716818,0.723,0.265,1.19043414211271e-18,"2","TKT"
1.42518144169445e-22,2.37617499297879,0.735,0.265,3.06100470047135e-18,"2","YBX3"
3.27562007695245e-22,6.45424624183073,0.277,0.008,7.03537680127848e-18,"2","C19orf33"
3.74186969233213e-22,6.17344912770332,0.277,0.008,8.03678772519096e-18,"2","SEMA3E"
3.8946632707657e-22,3.16899026840005,0.458,0.063,8.36495777295057e-18,"2","PAFAH1B3"
4.39484163527721e-22,5.18992161746967,0.265,0.005,9.43924086424839e-18,"2","LMO3"
5.18992345392841e-22,2.65458169842271,0.627,0.155,1.11469175943474e-17,"2","MDK"
5.98099272896322e-22,4.49178298603049,0.289,0.01,1.28459761832672e-17,"2","AL365436.2"
1.02419341503564e-21,1.69096131216514,0.976,0.969,2.19976261681355e-17,"2","RPL37A"
1.46104010673622e-21,4.41802522959894,0.434,0.06,3.13802194124806e-17,"2","TNFAIP2"
1.89430317886528e-21,3.46431415806156,0.434,0.055,4.06858436756686e-17,"2","RALGAPA2"
2.80224382093923e-21,4.56143993787764,0.373,0.039,6.01865927861327e-17,"2","GPRC5A"
3.47541481163653e-21,5.34314638339385,0.277,0.01,7.46449593243295e-17,"2","SH3BP4"
4.09056420274412e-21,3.30729390249412,0.434,0.058,8.78571379465382e-17,"2","TPM1"
5.03029599508329e-21,5.75013125553749,0.265,0.008,1.08040697382399e-16,"2","COL7A1"
6.71592164510005e-21,3.24975504199341,0.602,0.152,1.44244565093459e-16,"2","BEX2"
1.12207019537431e-20,3.47669219705785,0.361,0.034,2.40998236562493e-16,"2","SLC7A11"
1.79066395197937e-20,3.85576541791943,0.349,0.031,3.84598803606129e-16,"2","AFDN"
2.26781589566852e-20,2.55416319103112,0.458,0.073,4.87081498071685e-16,"2","PLK2"
3.55160788419959e-20,6.00116950755038,0.265,0.01,7.62814341368387e-16,"2","SMAD1"
3.98236305575786e-20,4.16866349841036,0.301,0.018,8.55331937115673e-16,"2","TMEM54"
4.23930958810427e-20,3.68452275632914,0.422,0.063,9.10518913333035e-16,"2","WDR60"
5.24676300732237e-20,3.3846144568044,0.313,0.021,1.1268997587127e-15,"2","LY6K"
7.29671255445754e-20,2.94340234991198,0.602,0.152,1.56718792244639e-15,"2","GOLGA8A"
8.94094381821859e-20,4.33502009370299,0.265,0.01,1.92033591327699e-15,"2","TRIM2"
9.27076736741895e-20,4.54117081647219,0.313,0.024,1.99117541517424e-15,"2","GCNT2"
9.85061901801901e-20,4.47126316503895,0.361,0.039,2.11571595269012e-15,"2","SFN"
1.65792040827623e-19,2.08100146615726,0.759,0.297,3.56088145289569e-15,"2","MARCKSL1"
